Year,SUMLEV,REGION,DIVISION,STATE,NAME,SEX,AGE,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV
2010,10,0,0,0,United States,1,17,2252041,,,,
2010,10,0,0,0,United States,1,18,2292726,,,,
2010,10,0,0,0,United States,1,19,2293140,,,,
2010,10,0,0,0,United States,1,20,2275546,,,,
2010,10,0,0,0,United States,1,21,2177670,,,,
2010,10,0,0,0,United States,1,22,2121799,,,,
2010,10,0,0,0,United States,1,23,2086740,,,,
2010,10,0,0,0,United States,1,24,2099744,,,,
2010,10,0,0,0,United States,1,25,2119490,,,,
2010,10,0,0,0,United States,1,26,2050212,,,,
2010,10,0,0,0,United States,1,27,2087454,,,,
2010,10,0,0,0,United States,1,28,2091550,,,,
2010,10,0,0,0,United States,1,29,2072767,,,,
2010,10,0,0,0,United States,1,30,2131037,,,,
2010,10,0,0,0,United States,1,31,1993017,,,,
2010,10,0,0,0,United States,1,32,1955499,,,,
2010,10,0,0,0,United States,1,33,1935131,,,,
2010,10,0,0,0,United States,1,34,1882149,,,,
2010,10,0,0,0,United States,1,35,1948050,,,,
2010,10,0,0,0,United States,1,36,1881588,,,,
2010,10,0,0,0,United States,1,37,1907808,,,,
2010,10,0,0,0,United States,1,38,2001215,,,,
2010,10,0,0,0,United States,1,39,2122643,,,,
2010,10,0,0,0,United States,1,40,2166329,,,,
2010,10,0,0,0,United States,1,41,2053936,,,,
2010,10,0,0,0,United States,1,42,2014340,,,,
2010,10,0,0,0,United States,1,43,2015586,,,,
2010,10,0,0,0,United States,1,44,2061114,,,,
2010,10,0,0,0,United States,1,45,2190086,,,,
2010,10,0,0,0,United States,1,46,2228522,,,,
2010,10,0,0,0,United States,1,47,2229294,,,,
2010,10,0,0,0,United States,1,48,2228433,,,,
2010,10,0,0,0,United States,1,49,2257039,,,,
2010,10,0,0,0,United States,1,50,2286730,,,,
2010,10,0,0,0,United States,1,51,2206667,,,,
2010,10,0,0,0,United States,1,52,2194787,,,,
2010,10,0,0,0,United States,1,53,2169018,,,,
2010,10,0,0,0,United States,1,54,2090194,,,,
2010,10,0,0,0,United States,1,55,2074110,,,,
2010,10,0,0,0,United States,1,56,1983584,,,,
2010,10,0,0,0,United States,1,57,1909254,,,,
2010,10,0,0,0,United States,1,58,1838084,,,,
2010,10,0,0,0,United States,1,59,1778997,,,,
2010,10,0,0,0,United States,1,60,1742004,,,,
2010,10,0,0,0,United States,1,61,1691257,,,,
2010,10,0,0,0,United States,1,62,1679014,,,,
2010,10,0,0,0,United States,1,63,1753871,,,,
2010,10,0,0,0,United States,1,64,1291765,,,,
2010,10,0,0,0,United States,1,65,1272693,,,,
