Year,STATE,NAME,SEX,AGE,Population
2010,9,Connecticut,2,1,18862
2010,10,Delaware,2,1,5310
2010,11,District of Columbia,2,1,3367
2010,12,Florida,2,1,102256
2010,13,Georgia,2,1,65357
2010,15,Hawaii,2,1,8612
2010,16,Idaho,2,1,11697
2010,17,Illinois,2,1,79877
2010,18,Indiana,2,1,41439
2010,19,Iowa,2,1,19282
2010,20,Kansas,2,1,19823
2010,21,Kentucky,2,1,27219
2010,22,Louisiana,2,1,30271
2010,23,Maine,2,1,6505
2010,24,Maryland,2,1,35257
2010,25,Massachusetts,2,1,34987
2010,26,Michigan,2,1,56685
2010,27,Minnesota,2,1,33856
2010,28,Mississippi,2,1,20269
2010,29,Missouri,2,1,37266
2010,30,Montana,2,1,5986
2010,31,Nebraska,2,1,12744
2010,32,Nevada,2,1,17928
2010,33,New Hampshire,2,1,6569
2010,34,New Jersey,2,1,51362
2010,35,New Mexico,2,1,14016
2010,36,New York,2,1,111434
2010,37,North Carolina,2,1,60899
2010,38,North Dakota,2,1,4433
2010,39,Ohio,2,1,69198
2010,40,Oklahoma,2,1,25685
2010,41,Oregon,2,1,22650
2010,42,Pennsylvania,2,1,69819
2010,44,Rhode Island,2,1,5337
2010,45,South Carolina,2,1,29451
2010,46,South Dakota,2,1,5759
2010,47,Tennessee,2,1,39148
2010,48,Texas,2,1,186491
2010,49,Utah,2,1,25778
2010,50,Vermont,2,1,2960
2010,51,Virginia,2,1,48889
2010,53,Washington,2,1,42833
2010,54,West Virginia,2,1,9957
2010,55,Wisconsin,2,1,34209
2010,56,Wyoming,2,1,3874
2010,1,Alabama,1,2,31551
2010,2,Alaska,1,2,5719
2010,4,Arizona,1,2,47211
2010,5,Arkansas,1,2,20362
2010,6,California,1,2,263348
2010,8,Colorado,1,2,35655
2010,9,Connecticut,1,2,20762
2010,10,Delaware,1,2,5702
2010,11,District of Columbia,1,2,3368
2010,12,Florida,1,2,111398
2010,13,Georgia,1,2,71085
2010,15,Hawaii,1,2,9140
2010,16,Idaho,1,2,12694
2010,17,Illinois,1,2,85780
2010,18,Indiana,1,2,44738
2010,19,Iowa,1,2,20897
2010,20,Kansas,1,2,21259
2010,21,Kentucky,1,2,29154
2010,22,Louisiana,1,2,32544
2010,23,Maine,1,2,7131
2010,24,Maryland,1,2,37623
2010,25,Massachusetts,1,2,38080
2010,26,Michigan,1,2,60876
2010,27,Minnesota,1,2,36590
2010,28,Mississippi,1,2,21876
2010,29,Missouri,1,2,40253
2010,30,Montana,1,2,6439
2010,31,Nebraska,1,2,13742
2010,32,Nevada,1,2,19538
2010,33,New Hampshire,1,2,7151
2010,34,New Jersey,1,2,55502
